City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
170,Port Blair,29,IN,1637586742,82,11.6667,92.75,81.95,8.46
171,Solnechnyy,100,RU,1637586742,96,50.7214,136.6319,20.5,14.76
172,Cherskiy,7,RU,1637586743,100,68.75,161.3,-31.14,4.0
173,Salalah,0,OM,1637586743,61,17.0151,54.0924,82.49,8.05
174,Srednekolymsk,100,RU,1637586743,100,67.45,153.6833,-29.74,3.96
175,Mahébourg,20,MU,1637586744,57,-20.4081,57.7,82.69,8.05
176,Mayumba,97,GA,1637586744,87,-3.432,10.6554,80.13,9.17
177,Batagay,100,RU,1637586745,98,67.6333,134.6333,-13.45,2.66
178,Cidreira,0,BR,1637586745,51,-30.1811,-50.2056,78.64,7.9
179,Ankang,100,CN,1637586745,44,32.68,109.0172,46.15,0.81
180,Kholm,11,RU,1637586746,74,59.2667,32.85,23.79,8.21
181,Narsaq,14,GL,1637586746,79,60.9167,-46.05,28.62,7.0
182,Agadez,0,NE,1637586746,12,19.75,10.25,91.67,14.43
183,Pedreiras,13,BR,1637586747,47,-4.5688,-44.6003,90.95,4.63
184,Sohag,0,EG,1637586747,31,26.557,31.6948,73.99,7.99
185,Moanda,100,GA,1637586747,47,-1.5575,13.2178,88.2,3.96
186,Vestmannaeyjar,100,IS,1637586748,89,63.4427,-20.2734,47.19,29.51
187,Turkmenabat,0,TM,1637586748,26,39.0733,63.5786,56.79,9.66
188,Flinders,43,AU,1637586749,85,-34.5833,150.8552,64.2,1.01
189,Vardø,75,NO,1637586749,93,70.3705,31.1107,21.18,16.11
190,‘Āhuimanu,20,US,1637586749,74,21.4447,-157.8378,75.85,8.05
191,Astoria,1,US,1637586690,88,46.1879,-123.8313,45.86,1.99
192,Kyaikto,10,MM,1637586486,74,17.3,97.0167,78.94,5.03
193,Otjiwarongo,0,NA,1637586750,10,-20.4637,16.6477,86.11,22.32
194,Puerto del Rosario,20,ES,1637586750,78,28.5004,-13.8627,71.35,9.22
195,Sabunçu,0,AZ,1637586750,82,40.4425,49.9481,53.35,11.5
196,Hambantota,100,LK,1637586751,75,6.1241,81.1185,80.58,8.28
197,Geraldton,75,AU,1637586751,63,-28.7667,114.6,66.61,16.11
198,Launceston,100,AU,1637586751,80,-41.45,147.1667,56.16,3.44
199,Kpandu,99,GH,1637586752,57,6.9954,0.2931,87.06,6.13
200,Mossamedes,25,AO,1637586752,65,-15.1961,12.1522,75.58,9.98
201,Iqaluit,90,CA,1637586752,86,63.7506,-68.5145,22.73,11.5
202,Mehamn,99,NO,1637586753,77,71.0357,27.8492,26.51,6.58
203,Manaure,57,CO,1637586753,74,11.7751,-72.4445,81.03,9.48
204,Esperance,82,AU,1637586753,82,-33.8667,121.9,60.64,24.07
205,Saint Paul Harbor,1,US,1637586754,46,57.79,-152.4072,24.31,11.5
206,Sumbe,26,AO,1637586754,72,-11.2061,13.8437,82.29,12.01
207,Provincia di Cremona,100,IT,1637586755,100,45.2333,9.9333,54.01,2.59
208,Tiznit Province,100,MA,1637586755,41,29.5833,-9.5,65.05,4.76
209,Namatanai,100,PG,1637586755,78,-3.6667,152.4333,81.16,9.84
210,Santa Cruz Cabrália,75,BR,1637586756,88,-16.2781,-39.0247,73.63,6.91
211,Padang,83,ID,1637586756,81,-0.9492,100.3543,78.85,1.92
212,Quatre Cocos,24,MU,1637586756,61,-20.2078,57.7625,82.51,8.28
213,Los Llanos de Aridane,20,ES,1637586756,90,28.6585,-17.9182,71.35,8.05
214,Iskateley,92,RU,1637586757,100,67.6803,53.1512,-2.79,5.12
215,Lüderitz,0,NA,1637586757,63,-26.6481,15.1594,70.0,19.77
216,Isangel,0,VU,1637586758,85,-19.55,169.2667,77.99,1.63
217,Faanui,10,PF,1637586758,80,-16.4833,-151.75,78.51,5.39
